Type,Name,Country,Tags
Cultural,Minaret of Jam,Afghanistan,"Architecture,Islam,Minaret,Tower"
Cultural,Old City of Kabul,Afghanistan,"Architecture,Fortification"
Cultural,M'Zab Valley,Algeria,"Architecture,Fortification,Islam"
Cultural,Djémila,Algeria,"Architecture,Roman"
Cultural,Al Qal'a of Beni Hammad,Algeria,"Architecture,Islam"
Cultural,Casbah of Algiers,Algeria,"Architecture,Fortification,Islam"
Mixed,Tassili n'Ajjer,Algeria,Desert
Natural,Ofu and Olosega,American Samoa,"Island,Scuba Diving,Marine Life"
Natural,Los Glaciares National Park,Argentina,Mountains
Cultural,La Boca District,Argentina,"Architecture,Colonial"
Cultural,Christ of the Andes,"Argentina,Chile","Architecture,Christianity"
Natural,Road of the Seven Lakes,"Argentina,Chile","Lake,Wilderness,Road Trip"
Natural,Beagle Channel,"Argentina,Chile",Cruise
Cultural,Fortress of Amberd,Armenia,"Architecture,Fortification"
Natural,Great Barrier Reef,Australia,"Marine Life,Scuba Diving,Snorkeling"
Mixed,Ayers Rock/ Uluru,Australia,"Desert,Landform,Rock Formation"
Cultural,Sydney Opera House,Australia,"Architecture,Modern,Opera House"
Mixed,Kakadu National Park,Australia,"Wildlife,Waterfall"
Natural,Whitehaven Beach / Island,Australia,"Island,Beach"
Natural,Lord Howe Island Group,Australia,"Island,Wildlife,Scuba Diving,Marine Life"
Natural,Bungle Bungle Range,Australia,"Landform,Rock Formation"
Natural,Great Ocean Road,Australia,"Landform,Rock Formation,Road Trip"
Cultural,Indian Pacific Railroad,Australia,"Railroad,Train Trip"
Natural,Kings Canyon,Australia,Canyon
Cultural,Sydney Harbour,Australia,Harbour
Natural,Olgas / Kata Tjuta,Australia,"Landform,Rock Formation"
Natural,Red crabs migration,Australia,Wildlife
Cultural,Norfolk Island,Australia,Island
Cultural,Palace and Gardens of Schönbrunn,Austria,"Architecture,Palace,Baroque"
Cultural,Historic Centre of the City of Salzburg,Austria,"Architecture,Fortification"
Cultural,Belvedere Palace,Austria,"Architecture,Palace,Baroque"
Cultural,Hofburg Palace,Austria,"Architecture,Palace"
Cultural,Kunsthistorisches Museum,Austria,"Architecture,Museum"
Cultural,Spanish Riding School,Austria,Show
Cultural,"St Stephen's Cathedral, Vienna",Austria,"Architecture,Christianity,Church,Gothic"
Cultural,Vienna State Opera House,Austria,"Architecture,Opera House"
Natural,Eisriesenwelt Caves,Austria,Cave
Cultural,Grossglockner Alpine Road,Austria,"Mountains,Road Trip"
Cultural,Melk Abbey Church,Austria,"Architecture,Christianity,Church,Baroque"
Cultural,Danube Cruise,"Austria,Romania,Germany,Slovakia,Holland,Hungary",Cruise
Cultural,Palace of the Shirvanshahs,Azerbaijan,"Architecture,Palace"
Cultural,Gobustan Rock Art Cultural Landscape,Azerbaijan,Rock Art
Natural,Paradise Island,Bahamas,"Island,Resort,Aquarium"
